County,Description,Unit,2015,2016,2017,2018,2019
"Denton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,27554092,29651421,32263203,34291593,37018080
"DeWitt, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,9849247,8677620,7434400,6649020,6693584
"DeWitt, TX",Chain-type quantity indexes for real GDP ,Quantity index,291.968,257.236,220.383,197.101,198.422
"DeWitt, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,4936292,3757839,4095365,4398945,3546347
"Dickens, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,130112,139250,138586,138697,135143
"Dickens, TX",Chain-type quantity indexes for real GDP ,Quantity index,77.979,83.456,83.058,83.125,80.995
"Dickens, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,105885,108381,115342,122790,113971
"Dimmit, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,6071334,5422301,5634194,5510647,6147752
"Dimmit, TX",Chain-type quantity indexes for real GDP ,Quantity index,253.553,226.448,235.298,230.138,256.745
"Dimmit, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3041082,2337903,3134188,3707093,3248848
"Donley, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,130949,118608,146926,153476,139728
"Donley, TX",Chain-type quantity indexes for real GDP ,Quantity index,139.03,125.927,155.993,162.947,148.351
"Donley, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,128474,112270,143452,151670,140072
"Duval, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,460568,406504,405645,418577,411342
"Duval, TX",Chain-type quantity indexes for real GDP ,Quantity index,91.066,80.376,80.206,82.763,81.333
"Duval, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,374222,317925,346688,380391,359310
"Eastland, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,674830,589323,640395,807632,831884
"Eastland, TX",Chain-type quantity indexes for real GDP ,Quantity index,77.676,67.833,73.712,92.962,95.753
"Eastland, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,677443,587157,663257,865541,866994
"Ector, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,11962099,10386145,11152121,12898132,13456927
"Ector, TX",Chain-type quantity indexes for real GDP ,Quantity index,92.341,80.176,86.089,99.567,103.88
"Ector, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,10744939,9127233,10336731,12370606,12772974
"Edwards, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,115476,100722,100476,97318,84172
"Edwards, TX",Chain-type quantity indexes for real GDP ,Quantity index,124.657,108.73,108.464,105.055,90.864
"Edwards, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,89474,74488,80009,82221,68939
"Ellis, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5000529,5211571,5392338,5809680,5856609
"Ellis, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.369,106.69,110.39,118.934,119.895
"Ellis, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5325951,5596384,5925237,6588987,6735882
"El Paso, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,26686911,26981360,27598908,28521867,29849124
"El Paso, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.1,99.182,101.452,104.845,109.724
"El Paso, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,28229315,28758872,29936008,31842840,33871987
"Erath, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1322747,1275203,1346526,1414245,1506967
"Erath, TX",Chain-type quantity indexes for real GDP ,Quantity index,109.521,105.584,111.489,117.096,124.774
"Erath, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1366739,1333020,1435695,1537986,1676108
"Falls, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,388282,366386,351960,367718,373610
"Falls, TX",Chain-type quantity indexes for real GDP ,Quantity index,112.515,106.17,101.99,106.556,108.264
"Falls, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,395870,371111,365707,391788,408025
"Fannin, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,669749,701926,728840,807362,842931
"Fannin, TX",Chain-type quantity indexes for real GDP ,Quantity index,110.719,116.039,120.488,133.469,139.349
"Fannin, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,720639,766971,812651,926108,993972
"Fayette, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1684843,1609560,1712071,1655155,1693764
"Fayette, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.863,103.044,109.606,105.963,108.434
"Fayette, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1550374,1451058,1609116,1618104,1653329
"Fisher, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,215123,215145,209787,276279,262991
"Fisher, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.619,97.629,95.198,125.371,119.341
"Fisher, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,166156,158261,168910,238908,211729
"Floyd, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,171891,222462,311721,296991,335043
"Floyd, TX",Chain-type quantity indexes for real GDP ,Quantity index,93.383,120.857,169.349,161.347,182.019
"Floyd, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,177308,225893,325900,314881,361548
"Foard, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,36843,31233,32053,45033,57338
"Foard, TX",Chain-type quantity indexes for real GDP ,Quantity index,87.695,74.342,76.293,107.188,136.477
"Foard, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,32083,26939,29098,42692,53689
"Fort Bend, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,28644049,24485721,25465167,27140348,28117662
"Fort Bend, TX",Chain-type quantity indexes for real GDP ,Quantity index,142.709,121.991,126.871,135.217,140.086
"Fort Bend, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,29731692,24952110,26493984,28925390,30560108
