County,Description,Unit,2015,2016,2017,2018,2019
"Guadalupe, TX",Personal income (thousands of dollars) ,Thousands of dollars,6478452,6696675,7183982,7506473,7995694
"Guadalupe, TX",Population (persons) 1/,Number of persons,151937,156132,161609,165658,169557
"Guadalupe, TX",Per capita personal income (dollars) 2/,Dollars,42639,42891,44453,45313,47156
"Hale, TX",Personal income (thousands of dollars) ,Thousands of dollars,1071410,1043708,1088162,1119119,1192593
"Hale, TX",Population (persons) 1/,Number of persons,33844,33864,33671,33242,32811
"Hale, TX",Per capita personal income (dollars) 2/,Dollars,31657,30821,32317,33666,36347
"Hall, TX",Personal income (thousands of dollars) ,Thousands of dollars,97983,88974,100292,94820,98464
"Hall, TX",Population (persons) 1/,Number of persons,3018,3022,2941,2923,2865
"Hall, TX",Per capita personal income (dollars) 2/,Dollars,32466,29442,34101,32439,34368
"Hamilton, TX",Personal income (thousands of dollars) ,Thousands of dollars,472777,458245,502549,513336,563141
"Hamilton, TX",Population (persons) 1/,Number of persons,7925,8051,8184,8230,8173
"Hamilton, TX",Per capita personal income (dollars) 2/,Dollars,59656,56918,61406,62374,68903
"Hansford, TX",Personal income (thousands of dollars) ,Thousands of dollars,458364,328757,344722,318094,351170
"Hansford, TX",Population (persons) 1/,Number of persons,5639,5557,5452,5436,5358
"Hansford, TX",Per capita personal income (dollars) 2/,Dollars,81285,59161,63229,58516,65541
"Hardeman, TX",Personal income (thousands of dollars) ,Thousands of dollars,154623,147240,152676,166527,168239
"Hardeman, TX",Population (persons) 1/,Number of persons,3689,3701,3635,3555,3525
"Hardeman, TX",Per capita personal income (dollars) 2/,Dollars,41915,39784,42002,46843,47727
"Hardin, TX",Personal income (thousands of dollars) ,Thousands of dollars,2411366,2456768,2548041,2660183,2765423
"Hardin, TX",Population (persons) 1/,Number of persons,54768,55110,55782,55570,55978
"Hardin, TX",Per capita personal income (dollars) 2/,Dollars,44029,44579,45679,47871,49402
"Harris, TX",Personal income (thousands of dollars) ,Thousands of dollars,248528847,236747445,255361808,274514924,284905380
"Harris, TX",Population (persons) 1/,Number of persons,4553991,4619635,4651955,4672445,4704042
"Harris, TX",Per capita personal income (dollars) 2/,Dollars,54574,51248,54893,58752,60566
"Harrison, TX",Personal income (thousands of dollars) ,Thousands of dollars,2739612,2638552,2708265,2802899,2986984
"Harrison, TX",Population (persons) 1/,Number of persons,67934,68114,68204,68622,68641
"Harrison, TX",Per capita personal income (dollars) 2/,Dollars,40328,38737,39708,40845,43516
"Hartley, TX",Personal income (thousands of dollars) ,Thousands of dollars,557590,394491,428610,357253,407021
"Hartley, TX",Population (persons) 1/,Number of persons,5661,5681,5641,5489,5433
